French,English
chercher,search
seulement,only
police,police
genre,kind
mettre,to put
aucun,no
laisse,leash
chaque,each
parlé,speak
longtemps,long time
vont,will
pendant,while
revoir,meet again
parle,speak
compris,understood
étaient,were
attention,Warning
leurs,their
donné,given
corps,body
endroit,place
yeux,eyes
façon,way
premier,first
perdu,lost
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
venez,come
devant,in front of
minutes,minutes
chambre,bedroom
droit,law
mari,husband
cause,cause
arrêter,Stop
dirait,would say
donne,given
fin,end
croire,believe
gros,large
plutôt,rather
jouer,to play
